ORDER_HEAD_LINE_NO,MTL_NO,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_STATUS_CD,MTL_SECTION_CD,MTL_STATUS_CD,OPER_FLAG,FAC_OP_CD_N,MAT_PRG_TP,PRD_PRG_TP,ORDER_PRG_TP_CD,BEF_OS_STATUS_CD,MTL_BEF_PROCESS_CD_N,PLATE_EA,MTL_REAL_WEIGHT,MTL_BASE_WEIGHT,MTL_COMPLETE_FLAG,GCS_COMP_CODE,WORKS_CODE,MAT_SHP_TP,RSV_METHOD_TP,RSV_DT,ASSEMBLY,SZ_DIR_FLAG,SZ_PARENT_SLAB_FLAG,PL_PRD_MASTER_CLS,DEPT_LOC_SITE_CD,DEST_SITE_CD,PLT_TE_PIC_QT_REVISE_TP,OVERROLL_CHECK_DATE,OVERROLL_RELEASE_DATE,OVROLL_PASS_YN_FLAG,OP_INDI_ERR_CAU_CD,OVEROLL_CD,MTL_PREVIOUS_NO_SECTION1,MTL_PREVIOUS_NO11,MTL_PREVIOUS_NO12,MTL_PREVIOUS_NO13,MTL_PREVIOUS_NO14,MTL_PREVIOUS_NO15,MTL_PREVIOUS_NO_SECTION2,MTL_PREVIOUS_NO21,MTL_PREVIOUS_NO22,MTL_PREVIOUS_NO23,MTL_PREVIOUS_NO24,MTL_PREVIOUS_NO25,MTL_PREVIOUS_NO26,MTL_PREVIOUS_NO27,MTL_PREVIOUS_NO28,MTL_PREVIOUS_NO29,MTL_PREVIOUS_NO30,PARTITION_KEY,CUST_DELIV_DT,PLT_PDT_ONL_ISP_RSH_IND_TP
01S5361276010,SBPB7732 531,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,1262,1262,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530060,SBPB7732 531,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2903,2903,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530070,SBPB7732 531,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2903,2903,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530200,SBPB7732 531,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530210,SBPB7732 531,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,B,HNMBY011,C400620522,2022/03/14 14:44:53.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5486463090,SBPB7732 532,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2069,2069,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495792260,SBPB7732 532,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,3011,3011,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495792350,SBPB7732 532,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,2,7956,7956,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5468156330,SBPB7732 533,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2401,2401,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530100,SBPB7732 533,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530110,SBPB7732 533,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5475008260,SBPB7732 533,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2382,2382,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495791020,SBPB7732 533,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2109,2109,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5486871010,SBPB7732 541,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,2,7806,7806,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495703100,SBPB7732 541,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,3739,3739,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495706090,SBPB7732 541,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,3739,3739,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495703030,SBPB7732 542,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,7287,7287,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495706030,SBPB7732 542,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,7751,7751,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495706130,SBPB7732 543,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,5569,5569,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5486871050,SBPB7732 543,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,B,HNMBY011,C400620522,2022/03/14 14:44:54.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,6654,6654,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5427154010,SBPB7733 011,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,4633,4633,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5475013010,SBPB7733 011,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,1673,1673,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495720020,SBPB7733 011,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,5629,5629,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495720030,SBPB7733 011,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,4849,4849,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5483520010,SBPB7733 012,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,3,12144,12144,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
