ORDER_HEAD_LINE_NO,OS_STATUS_CD,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_PROCESS_STATUS,OS_PROCESS_WGT,GCS_COMP_CODE,PARTITION_KEY
01S5360804010,FA1,B,PP104001,C400620527,2022/03/14 15:16:19.000000,B,PP145102,CallProductOSProgram,2022/03/14 15:16:43.373000,,,,,,,,,,2,0,01,P
01S5477124240,PSE,B,PLY17901,C400620527,2022/03/14 15:17:58.000000,B,PLY17901,C400620527,2022/03/14 15:17:58.000000,,,,,,,,,,2,3180,01,P
01S5402655010,FBM,B,PP101002,C400620527,2022/03/14 15:21:53.000000,B,PP101002,C400620527,2022/03/14 15:21:53.000000,,,,,,,,,,2,370,01,P
01S5472769150,P1E,B,PLC14052,C400620527,2022/03/14 15:22:20.000000,B,PLC14052,C400620527,2022/03/14 15:22:20.000000,,,,,,,,,,2,1786,01,P
01S5104469130,DAH,B,KEEZZ050,C400620527,2022/03/14 14:32:59.000000,B,KEEZZ050,C400620527,2022/03/14 14:32:59.000000,,,,,,,,,,2,13028,01,L
01S5389104190,FCY,B,H6C40104,C400620527,2022/03/14 14:33:47.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 14:35:08.061000,,,,,,,,,,2,1136,01,P
01S5351432030,DAH,B,PEEZZ050,C400620527,2022/03/14 14:42:49.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:59:13.985000,,,,,,,,,,2,1081,01,P
01S5351453010,DAH,B,PEEZZ050,C400620527,2022/03/14 14:42:49.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:59:14.052000,,,,,,,,,,2,1081,01,P
01S5351643010,DAH,B,PEEZZ050,C400620527,2022/03/14 14:42:49.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:59:14.107000,,,,,,,,,,2,1081,01,P
01S5361384010,DAH,B,PEEZZ050,C400620527,2022/03/14 14:42:49.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:59:14.147000,,,,,,,,,,2,1081,01,P
01S5351160010,DAH,B,PEEZZ050,C400620527,2022/03/14 14:42:52.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:59:14.389000,,,,,,,,,,2,1821,01,P
01S5484513030,DAH,B,PEEZZ050,C400620527,2022/03/14 14:42:52.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 14:59:14.433000,,,,,,,,,,2,2478,01,P
01S5440809010,PPE,B,PLA4009R,C400620527,2022/03/14 14:44:24.000000,B,PLC14052,CallPlateOSProgram,2022/03/14 14:55:51.570000,,,,,,,,,,2,0,01,P
01S5474074130,DAH,B,PEEZZ050,C400620527,2022/03/14 14:44:51.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 15:03:52.182000,,,,,,,,,,2,6723,01,P
01S5474074190,DAH,B,PEEZZ050,C400620527,2022/03/14 14:44:51.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 15:03:52.243000,,,,,,,,,,2,8706,01,P
01S5470684020,DBG,B,M2E01P01,C400620527,2022/03/14 14:44:57.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 14:44:58.095000,,,,,,,,,,2,0,01,P
01S5470684060,DBG,B,M2E01P01,C400620527,2022/03/14 14:44:57.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 14:44:58.153000,,,,,,,,,,2,0,01,P
01S5461035340,DAH,B,PEEZZ050,C400620527,2022/03/14 14:45:00.000000,B,PEEZZ050,C400620527,2022/03/14 14:45:00.000000,,,,,,,,,,2,2794,01,P
01S5472309030,DAH,B,PEEZZ050,C400620527,2022/03/14 14:45:00.000000,B,PEEZZ050,C400620527,2022/03/14 14:45:00.000000,,,,,,,,,,2,2687,01,P
01S5461226070,DAH,B,PEEZZ050,C400620527,2022/03/14 14:45:02.000000,B,PEEZZ050,C400620527,2022/03/14 14:45:02.000000,,,,,,,,,,2,3090,01,P
